"filename", "language", "JavaScript", "JSON", "HTML", "JSON with Comments", "Vue", "Markdown", "CSS", "XML", "comment", "blank", "total"
"e:\Program Files\Desktop\datasupermarket\datasupermarket\src\assets\img\invitation\join_us_banner.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1171, 1, 59, 1231
"e:\Program Files\Desktop\datasupermarket\datasupermarket\src\assets\img\production\contact.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 12, 1, 0, 13
"e:\Program Files\Desktop\datasupermarket\datasupermarket\src\assets\img\production\contact_email.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 30, 1, 0, 31
"e:\Program Files\Desktop\datasupermarket\datasupermarket\src\assets\img\production\contact_phone.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 18, 1, 0, 19
"e:\Program Files\Desktop\datasupermarket\datasupermarket\src\assets\img\production\contact_top.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 14, 1, 0, 15
"e:\Program Files\Desktop\datasupermarket\datasupermarket\src\assets\img\production\data_analysis_report.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 311, 0, 1, 312
"e:\Program Files\Desktop\datasupermarket\datasupermarket\src\assets\img\production\data_model.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 193, 0, 1, 194
"e:\Program Files\Desktop\datasupermarket\datasupermarket\src\assets\img\production\data_report.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 376, 0, 1, 377
"e:\Program Files\Desktop\datasupermarket\datasupermarket\src\assets\img\production\data_service.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 156, 0, 1, 157
"e:\Program Files\Desktop\datasupermarket\datasupermarket\src\assets\img\production\empty_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 41, 1, 0, 42
"e:\Program Files\Desktop\datasupermarket\datasupermarket\src\assets\img\production\error.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"e:\Program Files\Desktop\datasupermarket\datasupermarket\src\assets\img\production\errorIcon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"e:\Program Files\Desktop\datasupermarket\datasupermarket\src\assets\img\production\general_app.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 308, 0, 1, 309
"e:\Program Files\Desktop\datasupermarket\datasupermarket\src\assets\styles\icon\demo.css", "CSS", 0, 0, 0, 0, 0, 0, 435, 0, 19, 86, 540
"e:\Program Files\Desktop\datasupermarket\datasupermarket\src\assets\styles\icon\demo_index.html", "HTML", 0, 0, 671, 0, 0, 0, 0, 0, 2, 91, 764
"e:\Program Files\Desktop\datasupermarket\datasupermarket\src\assets\styles\icon\iconfont.css", "CSS", 0, 0, 0, 0, 0, 0, 88, 0, 0, 28, 116
"e:\Program Files\Desktop\datasupermarket\datasupermarket\src\assets\styles\icon\iconfont.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Program Files\Desktop\datasupermarket\datasupermarket\src\assets\styles\icon\iconfont.json", "JSON", 0, 184, 0, 0, 0, 0, 0, 0, 0, 1, 185
"e:\Program Files\Desktop\datasupermarket\datasupermarket\src\components\FadeAnimation.vue", "Vue", 0, 0, 0, 0, 22, 0, 0, 0, 0, 3, 25
"e:\Program Files\Desktop\datasupermarket\datasupermarket\src\components\skeleton.vue", "Vue", 0, 0, 0, 0, 58, 0, 0, 0, 0, 1, 59
"e:\Program Files\Desktop\datasupermarket\datasupermarket\src\main.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 1, 3, 27
"e:\Program Files\Desktop\datasupermarket\datasupermarket\src\router\index.js", "JavaScript", 102, 0, 0, 0, 0, 0, 0, 0, 28, 10, 140
"e:\Program Files\Desktop\datasupermarket\datasupermarket\src\store\index.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"e:\Program Files\Desktop\datasupermarket\datasupermarket\src\utils\collapse-transition.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 1, 8, 55
"e:\Program Files\Desktop\datasupermarket\datasupermarket\src\utils\drawMixin.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 10, 1, 53
"e:\Program Files\Desktop\datasupermarket\datasupermarket\src\utils\mock\index.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 4, 6, 23
"e:\Program Files\Desktop\datasupermarket\datasupermarket\src\utils\mock\invitation.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 1, 3, 51
"e:\Program Files\Desktop\datasupermarket\datasupermarket\src\utils\mock\mockHome.js", "JavaScript", 83, 0, 0, 0, 0, 0, 0, 0, 5, 1, 89
"e:\Program Files\Desktop\datasupermarket\datasupermarket\src\utils\mock\production.js", "JavaScript", 207, 0, 0, 0, 0, 0, 0, 0, 11, 11, 229
"e:\Program Files\Desktop\datasupermarket\datasupermarket\src\utils\mock\user.js", "JavaScript", 75, 0, 0, 0, 0, 0, 0, 0, 8, 6, 89
